Unnamed: 0,date,words,meaning,example,classes,last_changes_of_class,date_becoming,recalling
,2023-01-07,feat,"an action or a piece of work that needs skill, strength or courage",The tunnel is a remarkable feat of engineering.,5,2024-05-23,2222-02-02,0
,2023-01-07,rear,at the back of something:,There's a sticker on the rear door/window.,5,2024-05-23,2222-02-02,-1
,2023-01-07,probe,a complete and careful investigation of something,a police probe into the financial affairs of the company,5,2024-05-23,2222-02-02,0
,2023-01-07,accordance,according to a rule or the way that somebody says that something should be done,in accordance with legal requirements,5,2024-05-23,2222-02-02,1
,2023-01-07,congregation ,"a group or collection of people, animals or things",Large congregations of birds may cause public harm.,5,2024-05-23,2222-02-02,2
,2023-01-08,overlook,"to fail to see or notice something/to see something wrong or bad but decide to ignore it/if a building, etc. overlooks a place, you can see that place from the building",He seems to have overlooked one important fact./We could not afford to overlook such a serious offence./a restaurant overlooking the lake,5,2024-05-23,2222-02-02,0
,2023-01-08,pit,a large deep hole in the ground,We dug a deep pit in the yard.,5,2024-05-23,2222-02-02,2
,2023-01-08,humble,showing you do not think that you are as important as other people,Be humble enough to learn from your mistakes.,5,2024-05-23,2222-02-02,0
,2023-01-08,prescribe,"to tell somebody to take a particular medicine or have a particular treatment; to write a prescription for a particular medicine, etc.",prescribe something Valium is usually prescribed to treat anxiety.,5,2024-05-23,2222-02-02,0
,2023-01-08,genocide,"the murder of a large number of people from a particular nation or ethnic group, with the aim of destroying that nation or group",Refugees gave accounts of the mass genocide.,5,2024-05-23,2222-02-02,0
,2023-01-08,rifle,a gun with a long barrel which you hold to your shoulder to fire,a hunting rifle,5,2024-05-23,2222-02-02,0
,2023-01-08,kidney,either of the two organs in the body that remove waste products from the blood and produce urine,a kidney infection,5,2024-05-23,2222-02-02,0
,2023-01-08,interim,intended to last for only a short time until somebody/something more permanent is found,an interim government/measure/report,5,2024-05-23,2222-02-02,0
,2023-01-08,flee,"to leave a person or place very quickly, especially because you are afraid of possible danger",She burst into tears and fled.,5,2024-05-23,2222-02-02,0
,2023-01-08,capability,the ability or qualities necessary to do something,Age affects the range of a person's capabilities.,5,2024-05-23,2222-02-02,0
,2023-01-08,benchmark,a level of quality that can be used as a standard when comparing other things:,Tests at the age of seven provide a benchmark against which the child's progress at school can be measured.,5,2024-05-23,2222-02-02,1
,2023-01-10,deputy,"a person who is the next most important person below a business manager, a head of a school, a political leader, etc. and who does that person’s job when they are away",I'm acting as deputy till the manager returns.,5,2024-05-23,2222-02-02,2
,2023-01-10,compute,to calculate something,The losses were computed at £5 million.,5,2024-05-23,2222-02-02,-1
,2023-01-10,tenant,"a person who pays rent for the use of a room, building, land, etc. to the person who owns it",They had evicted their tenants for non-payment of rent.,5,2024-05-23,2222-02-02,0
,2023-01-10,warehouse,"a building where large quantities of goods are stored, especially before they are sent to shops to be sold",Police are investigating a fire at a furniture warehouse.,5,2024-05-23,2222-02-02,1
,2023-01-10,magistrate,a person who acts as a judge in a law court that deals with crimes that are less serious:,He will appear before the magistrates tomorrow.,5,2024-05-23,2222-02-02,0
,2023-01-10,civic,officially connected with a town or city/,civic buildings/leaders,5,2024-05-23,2222-02-02,2
,2023-01-10,intact,complete and not damaged,Most of the house remains intact even after two hundred years.,5,2024-05-23,2222-02-02,-1
,2023-01-10,interference,"the act of getting involved in and trying to influence a situation that should not really involve you, in a way that annoys other people",They resent foreign interference in the internal affairs of their country.,5,2024-05-23,2222-02-02,0
,2023-01-10,suburban,in or connected with a suburb,suburban areas,5,2024-05-23,2222-02-02,2
,2023-01-10,successive,following immediately one after the other,This was their fourth successive win.,5,2024-05-23,2222-02-02,2
,2023-01-10,accumulation,the process of gradually increasing or getting more and more of something over a period of time,the accumulation of wealth,5,2024-05-23,2222-02-02,0
,2023-01-10,surveillance,the act of carefully watching a person suspected of a crime or a place where a crime may be committed,The police are keeping the suspects under constant surveillance.,5,2024-05-23,2222-02-02,2
,2023-01-10,virtue,behaviour or attitudes that show high moral standards,He led a life of virtue.,5,2024-05-23,2222-02-02,1
,2023-01-10,marine,connected with the sea and the creatures and plants that live there,marine life,5,2024-05-23,2222-02-02,2
,2023-01-10,militia,a group of people who are not professional soldiers but who have had military training and can act as an army,He said he would call out the state militia if the rebels did not surrender.,5,2024-05-23,2222-02-02,0
,2023-01-10,disposal,the act of getting rid of something,The council is responsible for waste disposal and street cleaning.,5,2024-05-23,2222-02-02,1
,2023-01-10,council,a group of people who are elected to govern an area such as a city or county,The decision still has to be ratified by the full council.,5,2024-05-23,2222-02-02,0
,2023-01-11,compliance,the practice of obeying rules or requests made by people in authority, in compliance with something Safety measures were carried out in compliance with paragraph 6 of the building regulations.,5,2024-05-23,2222-02-02,0
,2023-01-11,solicitor,"a lawyer who prepares legal documents, for example for the sale of land or buildings, advises people on legal matters, and can speak for them in some courts of law",Her first step was to contact a solicitor for advice.,5,2024-05-23,2222-02-02,2
,2023-01-11,merchant,"c1a person who buys and sells goods in large quantities, especially one who imports and exports goods",Venice was once a city of rich merchants.,5,2024-05-23,2222-02-02,2
,2023-01-11,prestigious,respected and admired as very important or of very high quality,a highly prestigious university,5,2024-05-23,2222-02-02,-1
,2023-01-11,anchor,a heavy metal object that is attached to a rope or chain and dropped over the side of a ship or boat to keep it in one place/a person or thing that gives somebody a feeling of safety,We raised the anchor and set sail. /the anchor of the family,5,2024-05-23,2222-02-02,1
,2023-01-11,seldom,(literary)not often,"Now that we have a baby, we seldom get the chance to go to the cinema.",5,2024-05-23,2222-02-02,2
,2023-01-11,appoint,to choose somebody for a job or position of responsibility,appoint somebody They have appointed a new head teacher at my son's school.,5,2024-05-23,2222-02-02,2
,2023-01-11,portray,c1portray somebody/somethingto show somebody/something in a picture; to describe somebody/something in a piece of writing,The painting portrays the duke’s third wife.,5,2024-05-23,2222-02-02,0
,2023-01-11,differentiate,to recognize or show that two things are not the same,differentiate (between) A and B It's difficult to differentiate between the two varieties.,5,2024-05-23,2222-02-02,0
,2023-01-11,grin,to smile widely,They grinned with delight when they heard our news.,5,2024-05-23,2222-02-02,1
,2023-01-12,carve,"to make objects, patterns, etc. by cutting away material from a piece of wood or stone, or another hard material",He carved her name on a tree.,5,2024-05-23,2222-02-02,-1
,2023-01-12,coincide,to take place at the same time,It's a pity our trips to New York don't coincide.,5,2024-05-23,2222-02-02,2
,2023-01-12,dip,to put something quickly into a liquid and take it out again / to go downwards or to a lower level; to make something do this,dip something (into something) He dipped the brush into the paint. / The sun dipped below the horizon.,5,2024-05-23,2222-02-02,-1
,2023-01-12,premise,a statement or an idea that forms the basis for a reasonable line of argument,the basic premise of her argument,5,2024-05-23,2222-02-02,0
,2023-01-12,harassment,the act of annoying or worrying somebody by putting pressure on them or saying or doing unpleasant things to them,workplace/street harassment (= that happens at work/in the street),5,2024-05-23,2222-02-02,0
,2023-01-12,establishment,"an organization, a large institution or a hotel / the people in a society or a profession who have influence and power and who usually do not support change / the act of starting or creating something that is meant to last for a long time",The speaker announced the establishment of a new college.,5,2024-05-23,2222-02-02,0
,2023-01-12,residue,a small amount of something that remains at the end of a process,pesticide residues in fruit and vegetables,5,2024-05-23,2222-02-02,-1
,2023-01-12,realm,"an area of activity, interest or knowledge", in the realm of something in the realm of literature,5,2024-05-23,2222-02-02,-1
,2023-01-12,faculty,a department or group of related departments in a college or university / all the teachers in a faculty of a college or university,the Faculty of Law,5,2024-05-23,2222-02-02,2
,2023-01-12,surgical,used in or connected with surgery,surgical procedures,5,2024-05-23,2222-02-02,1
,2023-01-12,junction,the place where two or more roads or railway lines meet,It was near the junction of City Road and Old Street.,5,2024-05-23,2222-02-02,0
,2023-01-14,worship,"the practice of showing respect for God or a god, by saying prayers, singing with others, etc.; a ceremony for this / a strong feeling of love and respect for somebody/something",an act/a place of worship / What she feels for him is akin to worship.,5,2024-05-23,2222-02-02,0
,2023-01-14,validity,"the quality of being based on truth or reason, or of being able to be accepted: / 
the fact of having legal force, or being legally acceptable:",This research seems to give/lend some validity to the theory that the drug might cause cancer. /A computer system will check the validity of the insurance details of the person taxing the car.,5,2024-05-23,2222-02-02,-1
,2023-01-14,disrupt,to make it difficult for something to continue in the normal way / ,Demonstrators succeeded in disrupting the meeting.,5,2024-05-23,2222-02-02,0
,2023-01-14,contend,"to say that something is true, especially in an argument / to compete against somebody in order to gain something",I would contend that the minister's thinking is flawed on this point. / Three armed groups were contending for power.,5,2024-05-23,2222-02-02,1
,2023-01-14,closure,"the situation when a factory, school, hospital, etc. shuts permanently/",The hospital has been threatened with closure.,5,2024-05-23,2222-02-02,-1
,2023-01-14,substantial,"large in amount, value or importance",substantial sums of money,5,2024-05-23,2222-02-02,-1
,2023-01-14,designate,to say officially that somebody/something has a particular character or name; to describe somebody/something in a particular way,be designated (as) something This area has been designated (as) a National Park.,5,2024-05-23,2222-02-02,1
,2023-01-14,divert,"to make somebody/something change direction / c1[often passive]to use money, materials, etc. for a different purpose from their original purpose / to take somebody’s thoughts or attention away from something",be diverted The course of the stream has now been diverted. /  be diverted (from something) (to/into something) More of the budget was diverted into promotions. / The war diverted people's attention away from the economic situation.,5,2024-05-23,2222-02-02,0
,2023-01-14,favourable,making people have a good opinion of somebody/something,She made a favourable impression on his parents.,5,2024-05-23,2222-02-02,0
,2023-01-14,eternal,without an end; existing or continuing forever,the promise of eternal life in heaven,5,2024-05-23,2222-02-02,1
,2023-01-14,vicious,violent and cruel,a vicious attack,5,2024-05-23,2222-02-02,2
,2023-01-14,bail,"money that somebody agrees to pay if a person accused of a crime does not appear at their trial. When bail has been arranged, the accused person is allowed to go free until the trial.",She was released on £2 000 bail.,5,2024-05-23,2222-02-02,0
,2023-01-14,atrocity,"a cruel and violent act, especially in a war","In the war, both sides committed atrocities.",5,2024-05-23,2222-02-02,0
,2023-01-14,homeland,the country where a person was born,Many refugees have been forced to flee their homeland.,5,2024-05-23,2222-02-02,1
,2023-01-14,confine,"to keep somebody/something inside the limits of a particular activity, subject, area, etc.",The work will not be confined to the Glasgow area.,5,2024-05-23,2222-02-02,0
,2023-01-14,contradiction,"a lack of agreement between facts, opinions, actions, etc.",There is a contradiction between the two sets of figures.,5,2024-05-23,2222-02-02,0
,2023-01-14,immense,extremely large or great,There is still an immense amount of work to be done.,5,2024-05-23,2222-02-02,1
,2023-01-19,commissioner,a member of a commission (= an official group of people who are responsible for controlling something or finding out about something),the Church Commissioners (= the group of people responsible for controlling the financial affairs of the Church of England),5,2024-05-23,2222-02-02,2
,2023-01-19,discretion,the freedom or power to decide what should be done in a particular situation / keep something in secret ,"I'll leave it up to you to use your discretion. / This is confidential, but I know that I can rely on your discretion.",5,2024-05-23,2222-02-02,2
,2023-01-19,exaggerate,"to make something seem larger, better, worse or more important than it really is",The hotel was really filthy and I'm not exaggerating.,5,2024-05-23,2222-02-02,0
,2023-01-19,snap,to break something suddenly with a sharp noise; to be broken in this way / to take a photograph, The wind had snapped the tree in two. /  A passing tourist snapped the incident.,5,2024-05-23,2222-02-02,2
,2023-01-19,whereby,by which; because of which,They have introduced a new system whereby all employees must undergo regular training.,5,2024-05-23,2222-02-02,1
,2023-01-19,evoke,"to bring a feeling, a memory or an image into your mind",The music evoked memories of her youth.,5,2024-05-23,2222-02-02,-1
,2023-01-19,hostage,"a person who is captured and held prisoner by a person or group, and who may be injured or killed if people do not do what the person or group is asking",Three children were taken hostage during the bank robbery.,5,2024-05-23,2222-02-02,0
,2023-01-19,resume,"if you resume an activity, or if it resumes, it begins again or continues after being interrupted",She resumed her career after an interval of six years.,5,2024-05-23,2222-02-02,1
,2023-01-19,distress,a feeling of great worry or unhappiness; great mental pain,The newspaper article caused the actor considerable distress.,5,2024-05-23,2222-02-02,2
,2023-01-19,intervention,action taken to improve or help a situation,calls for government intervention to save the steel industry,5,2024-05-23,2222-02-02,0
,2023-01-19,dumb,temporarily not speaking or refusing to speak,We were all struck dumb with amazement.,5,2024-05-23,2222-02-02,0
,2023-01-19,revelation,"a fact that people are made aware of, especially one that has been secret and is surprising",The company's financial problems followed the revelation of a major fraud scandal.,5,2024-05-23,2222-02-02,2
,2023-01-19,occurrence,something that happens or exists,Vandalism used to be a rare occurrence here.,5,2024-05-23,2222-02-02,0
,2023-01-19,assert,to state clearly and definitely that something is true,The report asserts confidently that the industry will grow.,5,2024-05-23,2222-02-02,2
,2023-01-19,persistent,"determined to do something despite difficulties, especially when other people are against you and think that you are being annoying or unreasonable",She can be very persistent when she wants something.,5,2024-05-23,2222-02-02,1
,2023-01-19,generic,"shared by, including or typical of a whole group of things; not specific",Vine fruit’ is the generic term for currants and raisins.,5,2024-05-23,2222-02-02,0
,2023-01-19,gambling,"the activity of playing games of chance for money and of betting on horses, etc.",The police are trying to stop all illegal gambling.,5,2024-05-23,2222-02-02,0
,2023-01-19,density,the quality of being dense; the degree to which something is dense,The population density in this city is very high.,5,2024-05-23,2222-02-02,2
,2023-01-19,intermediate,"located between two places, things, states, etc. / having more than a basic knowledge of something but not yet advanced; suitable for somebody who is at this level", intermediate between A and B Liquid crystals are considered to be intermediate between liquid and solid.,5,2024-05-23,2222-02-02,-1
,2023-01-19,entity,something that exists separately from other things and has its own identity,The unit has become part of a larger department and no longer exists as a separate entity.,5,2024-05-23,2222-02-02,2
,2023-01-19,thrive,"to become, and continue to be, successful, strong, healthy, etc.",New businesses thrive in this area.,5,2024-05-23,2222-02-02,0
,2023-01-19,contender,a person or team with a chance of winning a competition,contender (for something) a contender for a gold medal in the Olympics,5,2024-05-23,2222-02-02,2
,2023-01-19,erect,to build something,The church was erected in 1582.,5,2024-05-23,2222-02-02,0
,2023-01-19,refuge,"shelter or protection from danger, trouble, etc.",A further 300 people have taken refuge in the US embassy.,5,2024-05-23,2222-02-02,2
,2023-01-24,succession,a number of people or things that follow each other in time or order,a succession of visitors,5,2024-05-23,2023-01-28,2
,2023-01-24,sue,to make a claim against a person or an organization in court about something that they have said or done to harm you,They threatened to sue if the work was not completed.,3,2023-01-28,2222-02-02,0
,2023-01-24,tighten,"to hold or fix something more securely in position; to make something or become more difficult to move, open or separate", tighten something to tighten a lid/screw/rope/knot,5,2024-05-23,2023-01-28,0
